Nummer,Titel,Mode,Genre,Publisher,Developer,Release,Version,Players
SWJ-BAN021,WonderSwan Console - Tare Panda no Gunpey Limited Edition,Monochrom,Puzzle,Bandai,Bandai,09.12.1999,Classic,2
SWJ-BAN022,Senkaiden: TV Animation Senkaiden Houshin Engi Yori,Monochrom,RPG,Bandai,Graphic Research,24.02.2000,Classic,2
SWJ-BAN023,Chou Aniki - Otoko no Konsatsu,Monochrom,RPG,Bandai,C.P. Brain,10.02.2000,Classic,
SWJ-BAN024,Langrisser Millineum WS - The Last Century,Monochrom,Strategy,Bandai,Bandai,09.03.2000,Classic,1
SWJ-BAN025,Sennou Millenium,Monochrom,Puzzle,Bandai,Kouyousha ,16.03.2000,Classic,2
SWJ-BAN026,Final Lap 2000,Monochrom,Racing,Bandai,Soft Machine,23.03.2000,Classic,2
SWJ-BAN027,Meitantei Conan - Nishi no Metantei Saidai no Kiki!?,Monochrom,Adventure,Bandai,Tomcat System,27.07.2000,Classic,1
SWJ-BAN028,wuz?b? Produce Street Dancer,Monochrom,Rhythm,Bandai,Fortyfive ,27.04.2000,Classic,2
SWJ-BAN029,Slither Link,Monochrom,Puzzle,Bandai,Tomcat ,20.04.2000,Classic,
SWJ-BAN02A,Hunter x Hunter - Ishi O Tsugu Mono,Monochrom,RPG,Bandai,Access,01.07.2000,Classic,
SWJ-BAN02B,From TV Animation - One Piece - Mezase Kaizoku Ou!,Monochrom,Adventure,Bandai,Bandai,19.07.2000,Classic,
"SWJ-BAN02C, SWJ-BAN02F",Digital Partner [2F with WonderWave],Monochrom,Strategy,Bandai,Tom Create,25.05.2000,Classic,2
"SWJ-BAN030, SWJ-BAN031",SD Gundam: G Generation Gather Beat,Monochrom,Strategy,Bandai,Vanguard Works,13.07.2000,Classic,2
SWJ-BAN031,SD Gundam G Generation: Gather Beat (WonderWave Pack),Monochrom,Strategy,Bandai,Vanguard Works,13.07.2000,Classic,2
SWJ-BAN032,Digimon Adventure 02 - Tag Tamers,Monochrom,Cardbattle,Bandai,Sims ,03.08.2000,Classic,
SWJ-BAN033,Robot Works [WonderBorg],Monochrom,Hardware,Bandai,,07.12.2000,Classic,
SWJ-BAN034,Robot Works [WonderBorg Version 2],Monochrom,Hardware,Bandai,,07.12.2000,Classic,
SWJ-BAN035, Robot Works [WonderBorg Version 3],Monochrom,Hardware,Bandai,,07.12.2000,Classic,
SWJ-BANC01, Rhyme Rider Kerorican,Farbe,Rhythm,Bandai,NanaOn-Sha,09.12.2000,Color,
SWJ-BANC02,Gunpey EX,Farbe,Puzzle,Bandai,TOSE,09.12.2000,Color,2
SWJ-BANC03,Digimon Adventure 02 - D1 Tamers,beide,RPG,Bandai,Sims ,09.12.2000,Color,
SWJ-BANC04,Senkaiden Ni - From TV Animation Senkaiden Hoshin Engi,beide,RPG,Bandai,Graphic Research,21.12.2000,Color,
